"","MIN","total_reads","no_samples","parent_MIN","type","rank"
"1","MZP_000000001",1507864,88,"MZP_000000001","parent",4
"2","MZP_000004449",4,1,"MZP_000000001","pseudogene",4830
"3","MZP_000010110",2,1,"MZP_000000001","pseudogene",8943
"4","MZP_000010178",2,1,"MZP_000000001","pseudogene",9010
"5","MZP_000004962",2,1,"MZP_000000001","pseudogene",6444
"6","MZP_000004967",2,1,"MZP_000000001","pseudogene",6449
"7","MZP_000004969",2,1,"MZP_000000001","pseudogene",6451
"8","MZP_000005145",2,1,"MZP_000000001","pseudogene",6626
"9","MZP_000005150",2,1,"MZP_000000001","pseudogene",6631
"10","MZP_000005152",2,1,"MZP_000000001","pseudogene",6633
"11","MZP_000005153",2,1,"MZP_000000001","pseudogene",6634
"12","MZP_000005155",2,1,"MZP_000000001","pseudogene",6636
"13","MZP_000005156",2,1,"MZP_000000001","pseudogene",6637
"14","MZP_000005158",2,1,"MZP_000000001","pseudogene",6639
"15","MZP_000006981",2,1,"MZP_000000001","pseudogene",6988
"16","MZP_000010116",2,1,"MZP_000000001","pseudogene",8949
"17","MZP_000010123",2,1,"MZP_000000001","pseudogene",8956
"18","MZP_000010142",2,1,"MZP_000000001","pseudogene",8974
"19","MZP_000010147",2,1,"MZP_000000001","pseudogene",8979
"20","MZP_000010151",2,1,"MZP_000000001","pseudogene",8983
"21","MZP_000010154",2,1,"MZP_000000001","pseudogene",8986
"22","MZP_000010157",2,1,"MZP_000000001","pseudogene",8989
"23","MZP_000010158",2,1,"MZP_000000001","pseudogene",8990
"24","MZP_000010159",2,1,"MZP_000000001","pseudogene",8991
"25","MZP_000010162",2,1,"MZP_000000001","pseudogene",8994
"26","MZP_000010164",2,1,"MZP_000000001","pseudogene",8996
"27","MZP_000010165",2,1,"MZP_000000001","pseudogene",8997
"28","MZP_000010167",2,1,"MZP_000000001","pseudogene",8999
"29","MZP_000010168",2,1,"MZP_000000001","pseudogene",9000
"30","MZP_000010171",2,1,"MZP_000000001","pseudogene",9003
"31","MZP_000010180",2,1,"MZP_000000001","pseudogene",9012
"32","MZP_000010182",2,1,"MZP_000000001","pseudogene",9014
"33","MZP_000010185",2,1,"MZP_000000001","pseudogene",9017
"34","MZP_000010189",2,1,"MZP_000000001","pseudogene",9021
"35","MZP_000010190",2,1,"MZP_000000001","pseudogene",9022
"36","MZP_000010196",2,1,"MZP_000000001","pseudogene",9028
"37","MZP_000010604",2,1,"MZP_000000001","pseudogene",9434
"38","MZP_000010610",2,1,"MZP_000000001","pseudogene",9440
"39","MZP_000010612",2,1,"MZP_000000001","pseudogene",9442
"40","MZP_000010614",2,1,"MZP_000000001","pseudogene",9444
"41","MZP_000010615",2,1,"MZP_000000001","pseudogene",9445
"42","MZP_000010617",2,1,"MZP_000000001","pseudogene",9447
"43","MZP_000010618",2,1,"MZP_000000001","pseudogene",9448
"44","MZP_000010630",2,1,"MZP_000000001","pseudogene",9460
"45","MZP_000010634",2,1,"MZP_000000001","pseudogene",9464
"46","MZP_000010638",2,1,"MZP_000000001","pseudogene",9468
"47","MZP_000010639",2,1,"MZP_000000001","pseudogene",9469
"48","MZP_000010643",2,1,"MZP_000000001","pseudogene",9473
