"Final_assignment","AphiaID","Match.type","ScientificName","AphiaID_accepted","ScientificName_accepted"
"Balanus crenatus",106215,"exact","Balanus crenatus",106215,"Balanus crenatus"
"Calanus finmarchicus",104464,"exact","Calanus finmarchicus",104464,"Calanus finmarchicus"
"Chiridius armatus",149730,"exact","Chiridius armatus",104267,"Aetideopsis armata"
"Nanomia cara",135496,"exact","Nanomia cara",135496,"Nanomia cara"
"Pseudocalanus acuspes",104514,"exact","Pseudocalanus acuspes",104514,"Pseudocalanus acuspes"
"Boroecia borealis",127766,"exact","Boroecia borealis",127766,"Boroecia borealis"
"Pseudocalanus elongatus",104515,"exact","Pseudocalanus elongatus",104515,"Pseudocalanus elongatus"
"Parasagitta elegans",105440,"exact","Parasagitta elegans",105440,"Parasagitta elegans"
"Paracalanus parvus",104685,"exact","Paracalanus parvus",745865,"Paracalanus parvus parvus"
"Oithona similis",106656,"exact","Oithona similis",106656,"Oithona similis"
"Verruca stroemia",106257,"exact","Verruca stroemia",106257,"Verruca stroemia"
"Metridia longa",104632,"exact","Metridia longa",1806771,"Metridia longa longa"
"Calanus glacialis",104465,"exact","Calanus glacialis",104465,"Calanus glacialis"
"Meganyctiphanes norvegica",110690,"exact","Meganyctiphanes norvegica",110690,"Meganyctiphanes norvegica"
"Microcalanus pusillus",157675,"exact","Microcalanus pusillus",157675,"Microcalanus pusillus"
"Clione limacina",139178,"exact","Clione limacina",139178,"Clione limacina"
"Thysanoessa inermis",110708,"exact","Thysanoessa inermis",110708,"Thysanoessa inermis"
"Pasiphaea multidentata",107676,"exact","Pasiphaea multidentata",107676,"Pasiphaea multidentata"
"Themisto abyssorum",103259,"exact","Themisto abyssorum",103259,"Themisto abyssorum"
"Candacia bipinnata",104475,"exact","Candacia bipinnata",104475,"Candacia bipinnata"
"Tomopteris Johnstonella helgolandica",NA,"not matched",NA,NA,NA
"Metridia lucens",104633,"exact","Metridia lucens",850801,"Metridia lucens lucens"
"Semibalanus balanoides",106210,"exact","Semibalanus balanoides",106210,"Semibalanus balanoides"
"Agalma elegans",135484,"exact","Agalma elegans",135484,"Agalma elegans"
"Electra pilosa",1789435,"exact","Electra pilosa",1789435,"Electra pilosa"
"Pseudocalanus minutus",104517,"exact","Pseudocalanus minutus",104517,"Pseudocalanus minutus"
"Paraeuchaeta norvegica",104566,"exact","Paraeuchaeta norvegica",104566,"Paraeuchaeta norvegica"
"Calanus hyperboreus",104467,"exact","Calanus hyperboreus",104467,"Calanus hyperboreus"
"Luidia sarsi",178639,"exact","Luidia sarsi",123922,"Luidia sarsii"
"Discoconchoecia elegans",127782,"exact","Discoconchoecia elegans",127782,"Discoconchoecia elegans"
"Calanus helgolandicus",104466,"exact","Calanus helgolandicus",1805501,"Calanus helgolandicus helgolandicus"
"Prionospio plumosa",888169,"exact","Prionospio plumosa",888169,"Prionospio plumosa"
"Hysterothylacium aduncum",122868,"exact","Hysterothylacium aduncum",122868,"Hysterothylacium aduncum"
"Coscinodiscus wailesii",156632,"exact","Coscinodiscus wailesii",156632,"Coscinodiscus wailesii"
"Tomopteris helgolandica",131554,"exact","Tomopteris helgolandica",334946,"Tomopteris (Johnstonella) helgolandica"
"Limanda limanda",127139,"exact","Limanda limanda",127139,"Limanda limanda"
"Candacia armata",104474,"exact","Candacia armata",104474,"Candacia armata"
"Balanus balanus",106213,"exact","Balanus balanus",106213,"Balanus balanus"
"Aetideopsis armata",NA,NA,NA,NA,NA
"Luidia sarsii",NA,NA,NA,NA,NA
"Hemimysis abyssicola",NA,NA,NA,NA,NA
"Eukrohnia hamata",NA,NA,NA,NA,NA
"Laodicea undulata",NA,NA,NA,NA,NA
"Nyctiphanes couchii",NA,NA,NA,NA,NA
"Limanda aspera",NA,NA,NA,NA,NA
"Coryphaenoides rupestris",NA,NA,NA,NA,NA
